tid,pathhash,sid,pid,tm,cpathhash,st,du
1617791695,125993742,1192108080,1068824137,1537378440000,864237698,1,537548559
380894366,237852351,608188624,1451270520,1537378500000,1608446010,0,992136656
511833308,1297685781,1705929636,1221555852,1537378560000,1509514333,0,1556956098
1252585652,2036368507,1785210046,1552787810,1537378620000,1361960727,0,739498517
125130493,914504136,166239592,991505714,1537378680000,385242642,1,824009085
2085857771,248609774,708049632,1887400018,1537378740000,285377351,1,344560770
559450121,716083600,791885625,2001112025,1537378800000,314265080,1,1288141870
2054881392,966808741,1908153060,116211441,1537378860000,607635164,1,529116035
242481580,1627800613,2065530879,697960108,1537378920000,943010986,0,1807837413
2066940133,48612937,325333723,1937962514,1537378980000,274064559,1,1018081122
242131142,1782113663,1433867275,476800120,1537379040000,1744347043,1,1254526270
662441761,1618212626,1129670968,1023714065,1537379100000,2051450519,0,99747242
1837543557,1971489295,985655350,804611486,1537379160000,2008017533,0,370988149
1395089624,1476011703,1603195447,792791759,1537379220000,1191747167,1,1094834071
1761061602,1330106945,1279149968,59559151,1537379280000,1450821318,1,668849042
434176574,2096057945,1689843956,766572210,1537379340000,1020391880,1,977993101
429313384,859417998,5592464,1830712962,1537379400000,1112280004,0,1013423070
380936215,142638629,707806938,705265961,1537379460000,428746855,0,317983781
987405879,1555845260,874088044,104739310,1537379520000,1761291320,1,1451043227
783286238,1500056228,1749186397,1464642111,1537379580000,105704967,1,392292416
1818402158,1590550415,1058025095,665576141,1537379640000,1599771323,1,1876631416
1359044626,692342133,578866604,353842779,1537379700000,1338823963,1,1156060786
1612799726,1286084959,1709537756,1639622804,1537379760000,184966243,0,124313277
1225616405,2101842856,1151020327,88579647,1537379820000,654845766,0,1712536284
2080166188,1123225098,606548741,1528637575,1537379880000,1190524793,1,472654579
26117480,870698190,1514322932,654582261,1537379940000,1389647288,1,1330278544
1634198,110456297,1989972246,1791930789,1537380000000,762152757,1,12209492
314337396,232824863,1282788025,519569038,1537380060000,1870252780,0,1729199940
97730845,611437735,100555887,1769597131,1537380120000,1983747920,1,1543727556
736709391,225493257,401424608,1348949648,1537380180000,834133664,0,985934102
1205044462,761960786,581374081,959447386,1537380240000,1654589030,0,466002798
33524623,947679291,575335780,205125520,1537380300000,1911006827,0,717356484
1595212853,475266352,1355531311,1967205423,1537380360000,42121758,1,20671747
257895351,1929600551,1690716179,1053782781,1537380420000,1211888640,1,564160838
2012232625,846063400,627150481,128526626,1537380480000,1911728085,1,754666084
88558700,1265210847,801197928,1495242910,1537380540000,1711574013,0,1631862159
1146848448,1638215613,591137559,1674896058,1537380600000,2075203460,1,866191240
1879492184,872627152,1207769059,2094777811,1537380660000,984213526,0,400136488
942986815,451111351,1879034789,875827115,1537380720000,716157500,1,729864207
984849465,787387795,2030562336,1416233903,1537380780000,1914572623,0,679890578
1856426318,1792393294,1748225580,1918627686,1537380840000,716143810,1,1849433705
411631404,897913732,1688019098,1792845110,1537380900000,896681694,1,687241927
627185331,706277948,226170135,381707837,1537380960000,589446616,1,1321640594
457233904,245672235,1012570586,1207140081,1537381020000,1510067370,1,1908923184
431687835,1164175787,290658609,1577213552,1537381080000,532445947,0,1170794006
1289479439,6738746,2096171631,2114694065,1537381140000,1844169442,0,1537358694
804581391,209813603,1057941451,1975358023,1537381200000,2101440631,0,2109957412
901506536,747464370,1513712028,1018547642,1537381260000,1456208737,1,288665596
13648335,312116338,453211571,796684896,1537381320000,757108857,1,1809787067
1802598046,659748578,240650537,483422889,1537381380000,2088051243,0,1277181601
41903949,488970385,1209271652,93122545,1537381440000,2083562754,1,1239731077
557041912,1134712904,985922955,1435804085,1537381500000,1784662007,1,997110508
509886383,1854778591,2054798982,885951223,1537381560000,191382150,0,142666848
1060830840,2137211482,920011586,968514068,1537381620000,1360767589,0,873415566
818403870,1531333864,1468177767,434091818,1537381680000,398887205,1,2114889273
1025799482,1504109395,2047526627,1908316405,1537381740000,1873653341,1,25126016
762218386,672320506,718231523,1349414238,1537381800000,157627094,1,932607259
1740000325,1142020464,1682092198,1626877848,1537381860000,905544614,0,2137589296
249515771,796533847,1449621165,1627960023,1537381920000,357863579,0,1811044090
114132791,586617651,328638398,1789550256,1537381980000,3447021,0,440434003
1032616650,99347477,566034357,940553268,1537382040000,1720435669,1,1020923989
